,k,iteration,H,converged,R1,R2,R3,R4
175,9,8750,7.4446664,,0.0059471303,0.114664465,-0.04601574,0.16653243
176,9,8800,5.822214,,-0.01566596,0.2604912,0.1668582,0.2384682
177,9,8850,6.6957083,,0.020888474,0.07245475,-0.029300213,0.10975292
178,9,8900,6.9844594,,-0.017596772,0.09067276,-0.09467554,0.29415962
179,9,8950,7.292431,,0.05702927,0.1341745,-0.05111742,0.24386308
180,9,9000,7.2848744,0,0.00026940918,0.09696257,-0.079769135,0.2797784
181,10,9050,6.8583293,,-0.01355314,0.010190129,0.04502201,0.03340289
182,10,9100,6.7492743,,0.04963082,-0.020210102,-0.011249065,0.030325502
183,10,9150,6.673187,,-0.042186018,0.032081485,-0.0022740364,0.09837973
184,10,9200,6.574139,,0.005262119,0.030478328,0.10755968,-0.08736384
185,10,9250,6.813314,,-0.06444023,0.034505814,-0.0012903214,0.059776276
186,10,9300,6.764634,,-0.03721945,0.04911813,-0.088288784,0.5197139
187,10,9350,6.734362,,0.059556253,0.03416398,-0.03261566,0.00741446
188,10,9400,6.878818,,-0.018611202,0.004892409,0.058433056,0.15998873
189,10,9450,6.990317,,-0.05510116,0.03622964,-0.08933163,0.03717786
190,10,9500,7.155951,,-0.10065737,0.09355453,0.0131082535,-0.04328519
191,10,9550,7.062244,,0.036782596,0.013151497,0.0574131,-0.04259664
192,10,9600,7.004225,,-0.07529608,0.05808884,-0.041550636,0.13832542
193,10,9650,6.92292,,0.027934443,0.010901332,-0.005900383,0.046363175
194,10,9700,7.0637608,,-0.10731155,0.049503267,0.034887314,0.067272335
195,10,9750,7.087723,,0.11919998,0.068689495,-0.039785385,0.10788569
196,10,9800,6.9672256,,-0.0603239,0.020109743,0.047039986,-0.033471018
197,10,9850,7.0372844,,0.02725026,0.02403894,0.10730457,0.08470243
198,10,9900,6.865993,,-0.042699926,0.017769367,-0.08913183,0.09234831
199,10,9950,7.134051,,0.04624895,0.045565456,-0.06740999,0.012788504
200,10,10000,6.935337,1,0.09072478,0.033667,-0.06985855,0.07368958
